45,      CORK AND ARTICLES OF CORK
46,"      MFR OF STRAW, ESPARTO ETC.; BASKETWARE & WICKERWRK"
47,      PULP OF WOOD ETC; WASTE ETC OF PAPER & PAPERBOARD
48,      PAPER & PAPERBOARD & ARTICLES (INC PAPR PULP ARTL)
49,"      PRINTED BOOKS, NEWSPAPERS ETC; MANUSCRIPTS ETC"
50,"     SILK, INCLUDING YARNS AND WOVEN FABRIC THEREOF"
51,"      WOOL & ANIMAL HAIR, INCLUDING YARN & WOVEN FABRIC"
52,"      COTTON, INCLUDING YARN AND WOVEN FABRIC THEREOF"
53,      VEG TEXT FIB NESOI; VEG FIB & PAPER YNS & WOV FAB
54,"      MANMADE FILAMENTS, INCLUDING YARNS & WOVEN FABRICS"
55,"      MANMADE STAPLE FIBERS, INCL YARNS & WOVEN FABRICS"
56,"      WADDING, FELT ETC; SP YARN; TWINE, ROPES ETC."
57,      CARPETS AND OTHER TEXTILE FLOOR COVERINGS
58,      SPEC WOV FABRICS; TUFTED FAB; LACE; TAPESTRIES ETC
59,      IMPREGNATED ETC TEXT FABRICS; TEX ART FOR INDUSTRY
60,      KNITTED OR CROCHETED FABRICS
61,"      APPAREL ARTICLES AND ACCESSORIES, KNIT OR CROCHET"
62,"      APPAREL ARTICLES AND ACCESSORIES, NOT KNIT ETC."
63,      TEXTILE ART NESOI; NEEDLECRAFT SETS; WORN TEXT ART
64,"      FOOTWEAR, GAITERS ETC. AND PARTS THEREOF"
65,      HEADGEAR AND PARTS THEREOF
66,"      UMBRELLAS, WALKING-STICKS, RIDING-CROPS ETC, PARTS"
67,"      PREP FEATHERS, DOWN ETC; ARTIF FLOWERS; H HAIR ART"
68,"      ART OF STONE, PLASTER, CEMENT, ASBESTOS, MICA ETC."
69,      CERAMIC PRODUCTS
70,      GLASS AND GLASSWARE
71,"      NAT ETC PEARLS, PREC ETC STONES, PR MET ETC; COIN"
72,      IRON AND STEEL
73,      ARTICLES OF IRON OR STEEL
74,      COPPER AND ARTICLES THEREOF
75,      NICKEL AND ARTICLES THEREOF
76,      ALUMINUM AND ARTICLES THEREOF
78,      LEAD AND ARTICLES THEREOF
79,      ZINC AND ARTICLES THEREOF
80,      TIN AND ARTICLES THEREOF
81,      BASE METALS NESOI; CERMETS; ARTICLES THEREOF
82,"      TOOLS, CUTLERY ETC. OF BASE METAL & PARTS THEREOF"
83,      MISCELLANEOUS ARTICLES OF BASE METAL
84,"      NUCLEAR REACTORS, BOILERS, MACHINERY ETC.; PARTS"
85,      ELECTRIC MACHINERY ETC; SOUND EQUIP; TV EQUIP; PTS
86,      RAILWAY OR TRAMWAY STOCK ETC; TRAFFIC SIGNAL EQUIP
87,"      VEHICLES, EXCEPT RAILWAY OR TRAMWAY, AND PARTS ETC"
88,"      AIRCRAFT, SPACECRAFT, AND PARTS THEREOF"
89,"      SHIPS, BOATS AND FLOATING STRUCTURES"
90,"      OPTIC, PHOTO ETC, MEDIC OR SURGICAL INSTRMENTS ETC"
91,      CLOCKS AND WATCHES AND PARTS THEREOF
92,      MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES THEREOF
93,      ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF
94,      FURNITURE; BEDDING ETC; LAMPS NESOI ETC; PREFAB BD
95,"      TOYS, GAMES & SPORT EQUIPMENT; PARTS & ACCESSORIES"
96,      MISCELLANEOUS MANUFACTURED ARTICLES
97,"      WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES"
98,"      SPECIAL CLASSIFICATION PROVISIONS, NESOI"
